type_approval,country,source,confidence,evidence,generation,item,ta_pdf,issuer_prefix,issuer_authority,issuer_country,issuer_check,issuer_expected,issuer_table_source,issuer_note,issuer_authority_raw
e5-0002-07,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,Paper - TACHO JRC_DTLab/A2-143/2021,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e5-0002-07.pdf,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2022-904 Ert datum/Your date Er beteckning/Your ID 2022-02-14 1221_024-990181 Till: (To:) Stoneridge Electronics AB 
e1-0008-04,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,Paper - TACHO N.A.,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-0008-04.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e1-84-06,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,VU - DTC1381 JRC_DTLab/A1-139/2021,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-84-06.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e1-222-11,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G1,VU - EFAS 4 N.A.,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-222-11.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt / Federal Motor Transport Authority
e1-0009-04,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,Paper - Tacho Simple N.A.,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-0009-04.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt à DE-24932 Flensburg
e1-222-02,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,VU - EFAS 4 JRC_DTLab/53-134/2019 v2,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-222-02.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e1-00018-00,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,DSRC - EFAS 4 DU N.A.,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-00018-00.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e1-00017-00,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,Paper - VDO Printer Paper N.A.,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-00017-00.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e4-0009-02,Denmark,TA-PDF: Manufacturing mark,belegt,Tachograph G2 cards for Denmark,G2.1,Card - Thales Smart Tachograph G2 [Version 2.0.1 G on MultiApp V4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e4-0009-02.pdf,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e4-0008-00,United Kingdom,TA-PDF: Manufacturing mark,belegt,Tachograph G2 cards for United Kingdom,G2.1,Card - Thales Smart Tachograph G2 [Version 2.0.1 G on MultiApp V4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e4-0008-00.pdf,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW Division Vehicle Regulation & Admission THE NETHERLANDS (NEDERLAND)
